"State","Year","Total","With public health coverage","Without public health coverage","SNAP Household Participation","SNAP Persons Participation","SNAP Total Cost","SNAP Cost Per Household","SNAP Cost Per Persons","SNAP","Total(SNAP-Racebased)","White_alone","Black or African American alone","American Indian alone","Alaska Native alone","American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races","Asian alone","Native Hawaiian and Other Pacific Islander alone","Some other race alone","Two or More Races"
"North Dakota",2018,762062,213601,548461,25072,52621,75391175,250.59,119.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"North Dakota",2018,762062,213601,548461,25072,52621,75391175,250.59,119.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ohio",2018,11689100,4392357,7296743,710024,1421366,2078237006,243.92,121.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ohio",2018,11689100,4392357,7296743,710024,1421366,2078237006,243.92,121.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oklahoma",2018,3956971,1349360,2607611,268711,585064,832653493,258.23,118.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oklahoma",2018,3956971,1349360,2607611,268711,585064,832653493,258.23,118.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oregon",2018,4217737,1629305,2588432,365382,633970,937798988,213.89,123.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oregon",2018,4217737,1629305,2588432,365382,633970,937798988,213.89,123.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pennsylvania",2018,12801989,4881404,7920585,956435,1818589,2592183684,225.85,118.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pennsylvania",2018,12801989,4881404,7920585,956435,1818589,2592183684,225.85,118.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rhode Island",2018,1059361,387648,671713,94205,158986,259191919,229.28,135.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rhode Island",2018,1059361,387648,671713,94205,158986,259191919,229.28,135.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Carolina",2018,5148714,1916644,3232070,307859,658119,943922431,255.51,119.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Carolina",2018,5148714,1916644,3232070,307859,658119,943922431,255.51,119.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Dakota",2018,884659,276494,608165,39968,87410,131112641,273.37,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Dakota",2018,884659,276494,608165,39968,87410,131112641,273.37,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tennessee",2018,6829174,2476353,4352821,471342,970875,1424890904,251.92,122.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tennessee",2018,6829174,2476353,4352821,471342,970875,1424890904,251.92,122.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Texas",2018,28995881,8215740,20780141,1636052,3895207,5525177455,281.43,118.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Texas",2018,28995881,8215740,20780141,1636052,3895207,5525177455,281.43,118.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Utah",2018,3205958,656278,2549680,77795,189093,258536027,276.94,113.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Utah",2018,3205958,656278,2549680,77795,189093,258536027,276.94,113.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vermont",2018,623989,267007,356982,40934,73058,106782062,217.39,121.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vermont",2018,623989,267007,356982,40934,73058,106782062,217.39,121.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virginia",2018,8535519,2613933,5921586,352313,736221,1051800978,248.78,119.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virginia",2018,8535519,2613933,5921586,352313,736221,1051800978,248.78,119.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Washington",2018,7614893,2691651,4923242,501868,877244,1268734555,210.67,120.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Washington",2018,7614893,2691651,4923242,501868,877244,1268734555,210.67,120.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"West Virginia",2018,1792147,855665,936482,165378,321009,440298715,221.86,114.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"West Virginia",2018,1792147,855665,936482,165378,321009,440298715,221.86,114.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wisconsin",2018,5822434,1931593,3890841,329203,652885,816882114,206.78,104.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wisconsin",2018,5822434,1931593,3890841,329203,652885,816882114,206.78,104.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wyoming",2018,578759,171346,407413,12989,29330,40676283,260.97,115.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wyoming",2018,578759,171346,407413,12989,29330,40676283,260.97,115.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alabama",2017,4887871,1809584,3078287,375919,804336,1161155532,257.4,120.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alaska",2017,737438,244608,492830,38632,89113,191442132,412.97,179.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arizona",2017,7171646,2815174,4356472,412989,918728,1335235066,269.43,121.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arkansas",2017,3013825,1336083,1677742,170644,388362,510832029,249.46,109.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"California",2017,39557045,15228370,24328675,1987758,4112066,6732719405,282.26,136.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Colorado",2017,5695564,1856811,3838753,221885,459247,701946211,263.63,127.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Connecticut",2017,3572665,1289579,2283086,235306,410344,653086669,231.29,132.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Delaware",2017,967171,390995,576176,71465,146805,210706049,245.7,119.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"District of Columbia",2017,702455,256513,445942,71743,119104,200333265,232.7,140.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida",2017,21299325,7867293,13432032,1690926,3186537,4783367429,235.74,125.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Georgia",2017,10519475,3272269,7247206,756158,1625415,2540245442,279.95,130.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hawaii",2017,1420491,483370,937121,85869,169045,479722381,465.55,236.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Idaho",2017,1754208,576545,1177663,74534,171251,233881652,261.49,113.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Illinois",2017,12741080,4352226,8388854,976672,1878519,2930325381,250.03,129.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Indiana",2017,6691878,2274813,4417065,297486,671986,955393220,267.63,118.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Iowa",2017,3156145,1134130,2022015,172869,365893,482469098,232.58,109.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kansas",2017,2911510,882122,2029388,108119,233778,318488850,245.48,113.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kentucky",2017,4468402,1941832,2526570,308458,654873,943688786,254.95,120.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Louisiana",2017,4659978,2065208,2594770,429811,928962,1440110876,279.21,129.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Maine",2017,1338404,510537,827867,93391,179734,234405832,209.16,108.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Maryland",2017,6042718,2017279,4025439,359112,684282,987124236,229.07,120.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Massachusetts",2017,6902197,2559308,4342889,445840,766116,1159027643,216.64,126.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Michigan",2017,9995915,3930413,6065502,728586,1375434,2069172718,236.67,125.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Minnesota",2017,5611179,1880836,3730343,222674,453564,601821006,225.23,110.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mississippi",2017,2986530,1154895,1831635,244490,537370,742934749,253.23,115.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Missouri",2017,6126452,2016700,4109752,351513,758918,1116216424,264.62,122.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montana",2017,1062305,429991,632314,57589,120889,172035838,248.94,118.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nebraska",2017,1929268,565678,1363590,78872,175849,241772391,255.45,114.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nevada",2017,3034392,1062440,1971952,225337,440614,625062614,231.16,118.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Hampshire",2017,1356410,447916,908494,45859,92457,112617204,204.64,101.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Jersey",2017,8908520,2808997,6099523,407230,817979,1115682640,228.31,113.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Mexico",2017,2095428,1037410,1058018,217356,460534,669640046,256.74,121.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New York",2017,19542209,7875471,11666738,1610723,2910894,4737481755,245.1,135.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"North Carolina",2017,10383620,3617373,6766247,731364,1453827,2140406972,243.88,122.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"North Dakota",2017,760077,204735,555342,25240,53748,77842534,257.01,120.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ohio",2017,11689442,4433022,7256420,746747,1501795,2226190303,248.43,123.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oklahoma",2017,3943079,1360692,2582387,273898,603896,879725084,267.66,121.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oregon",2017,4190713,1651776,2538937,388364,680671,1009209337,216.55,123.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pennsylvania",2017,12807060,4815396,7991664,951411,1842945,2673354132,234.16,120.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rhode Island",2017,1057315,412801,644514,97102,164410,269949378,231.67,136.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Carolina",2017,5084127,1908983,3175144,337213,719977,1066150932,263.47,123.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Dakota",2017,882235,270427,611808,41316,93259,140613366,283.61,125.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tennessee",2017,6770010,2522629,4247381,512909,1047058,1586711088,257.8,126.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Texas",2017,28701845,8317233,20384612,1646209,3921278,5805152020,293.86,123.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Utah",2017,3161105,676089,2485016,82772,206299,286288642,288.23,115.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vermont",2017,626299,256946,369353,42087,76558,112961944,223.67,122.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virginia",2017,8517685,2421488,6096197,367231,775548,1115536652,253.14,119.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Washington",2017,7535591,2719931,4815660,520498,929486,1363774904,218.34,122.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"West Virginia",2017,1805832,854921,950911,171913,340308,481164574,233.24,117.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wisconsin",2017,5813568,1935090,3878478,343582,691635,877506140,212.83,105.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wyoming",2017,577737,158520,419217,14102,32839,46791729,276.51,118.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
