Selected Geographies,Year,Total,With health insurance coverage,No health insurance coverage
Hawaii,2018,1420491,1361157,59334
Idaho,2018,1754208,1556891,197317
Illinois,2018,12741080,11830743,910337
Indiana,2018,6691878,6110542,581336
Iowa,2018,3156145,2997711,158434
Kansas,2018,2911510,2652552,258958
Kentucky,2018,4468402,4205807,262595
Louisiana,2018,4659978,4260844,399134
Maine,2018,1338404,1233828,104576
Maryland,2018,6042718,5676472,366246
Massachusetts,2018,6902197,6710157,192040
Michigan,2018,9995915,9435447,560468
Minnesota,2018,5611179,5361758,249421
Mississippi,2018,2986530,2595748,390782
Missouri,2018,6126452,5535462,590990
Montana,2018,1062305,975870,86435
Nebraska,2018,1929268,1764862,164406
Nevada,2018,3034392,2683384,351008
New Hampshire,2018,1356410,1283542,72868
New Jersey,2018,8908520,8237938,670582
New Mexico,2018,2095428,1894159,201269
New York,2018,19542209,18486639,1055570
North Carolina,2018,10383620,9258188,1125432
North Dakota,2018,760077,702190,57887
Ohio,2018,11689442,10900981,788461
Oklahoma,2018,3943079,3385681,557398
Oregon,2018,4190713,3880631,310082
Pennsylvania,2018,12807060,12040155,766905
Rhode Island,2018,1057315,1013342,43973
South Carolina,2018,5084127,4533637,550490
South Dakota,2018,882235,799126,83109
Tennessee,2018,6770010,6055423,714587
Texas,2018,28701845,23484339,5217506
Utah,2018,3161105,2867910,293195
Vermont,2018,626299,601070,25229
Virginia,2018,8517685,7765968,751717
Washington,2018,7535591,7039900,495691
West Virginia,2018,1805832,1685691,120141
Wisconsin,2018,5813568,5476516,337052
Wyoming,2018,577737,514935,62802
Alabama,2017,4874747,4387572,487175
Alaska,2017,739795,637503,102292
Arizona,2017,7016270,6267194,749076
Arkansas,2017,3004279,2746141,258138
California,2017,39536653,36601429,2935224
Colorado,2017,5607154,5169862,437292
Connecticut,2017,3588184,3384501,203683
Delaware,2017,961939,904510,57429
District of Columbia,2017,693972,668183,25789
Florida,2017,20984400,18181693,2802707
Georgia,2017,10429379,8975060,1454319
Hawaii,2017,1427538,1373708,53830
Idaho,2017,1716943,1528252,188691
Illinois,2017,12802023,11910126,891897
Indiana,2017,6666818,6093496,573322
Iowa,2017,3145711,3006630,139081
Kansas,2017,2913123,2659656,253467
Kentucky,2017,4454189,4196289,257900
Louisiana,2017,4684333,4263444,420889
Maine,2017,1335907,1230891,105016
Maryland,2017,6052177,5666905,385272
Massachusetts,2017,6859819,6666275,193544
Michigan,2017,9962311,9428835,533476
Minnesota,2017,5576606,5318085,258521
Mississippi,2017,2984100,2600445,383655
Missouri,2017,6113532,5541562,571970
Montana,2017,1050493,954616,95877
Nebraska,2017,1920076,1756152,163924
Nevada,2017,2998039,2656856,341183
New Hampshire,2017,1342795,1265988,76807
New Jersey,2017,9005644,8305399,700245
New Mexico,2017,2088070,1890348,197722
New York,2017,19849399,18688369,1161030
North Carolina,2017,10273419,9168479,1104940
North Dakota,2017,755393,697694,57699
