Selected Geographies,Year,Total,With public health coverage,Without public health coverage
District of Columbia,2018,705749,243730,462019
Florida,2018,21477737,7905019,13572718
Georgia,2018,10617423,3328332,7289091
Hawaii,2018,1415872,501485,914387
Idaho,2018,1787065,575317,1211748
Illinois,2018,12671821,4310716,8361105
Indiana,2018,6732219,2308075,4424144
Iowa,2018,3155070,1158500,1996570
Kansas,2018,2913314,892530,2020784
Kentucky,2018,4467673,1921134,2546539
Louisiana,2018,4648794,2071824,2576970
Maine,2018,1344212,542324,801888
Maryland,2018,6045680,2057082,3988598
Massachusetts,2018,6892503,2505966,4386537
Michigan,2018,9986857,3890670,6096187
Minnesota,2018,5639632,1861647,3777985
Mississippi,2018,2976149,1174975,1801174
Missouri,2018,6137428,2002515,4134913
Montana,2018,1068778,439398,629380
Nebraska,2018,1934408,550639,1383769
Nevada,2018,3080156,1036090,2044066
New Hampshire,2018,1359711,443136,916575
New Jersey,2018,8882190,2849096,6033094
New Mexico,2018,2096829,1035299,1061530
New York,2018,19453561,7783980,11669581
North Carolina,2018,10488084,3655993,6832091
North Dakota,2018,762062,213601,548461
Ohio,2018,11689100,4392357,7296743
Oklahoma,2018,3956971,1349360,2607611
Oregon,2018,4217737,1629305,2588432
Pennsylvania,2018,12801989,4881404,7920585
Rhode Island,2018,1059361,387648,671713
South Carolina,2018,5148714,1916644,3232070
South Dakota,2018,884659,276494,608165
Tennessee,2018,6829174,2476353,4352821
Texas,2018,28995881,8215740,20780141
Utah,2018,3205958,656278,2549680
Vermont,2018,623989,267007,356982
Virginia,2018,8535519,2613933,5921586
Washington,2018,7614893,2691651,4923242
West Virginia,2018,1792147,855665,936482
Wisconsin,2018,5822434,1931593,3890841
Wyoming,2018,578759,171346,407413
Alabama,2017,4887871,1809584,3078287
Alaska,2017,737438,244608,492830
Arizona,2017,7171646,2815174,4356472
Arkansas,2017,3013825,1336083,1677742
California,2017,39557045,15228370,24328675
Colorado,2017,5695564,1856811,3838753
Connecticut,2017,3572665,1289579,2283086
Delaware,2017,967171,390995,576176
District of Columbia,2017,702455,256513,445942
Florida,2017,21299325,7867293,13432032
Georgia,2017,10519475,3272269,7247206
Hawaii,2017,1420491,483370,937121
Idaho,2017,1754208,576545,1177663
Illinois,2017,12741080,4352226,8388854
Indiana,2017,6691878,2274813,4417065
Iowa,2017,3156145,1134130,2022015
Kansas,2017,2911510,882122,2029388
Kentucky,2017,4468402,1941832,2526570
Louisiana,2017,4659978,2065208,2594770
Maine,2017,1338404,510537,827867
Maryland,2017,6042718,2017279,4025439
Massachusetts,2017,6902197,2559308,4342889
Michigan,2017,9995915,3930413,6065502
Minnesota,2017,5611179,1880836,3730343
Mississippi,2017,2986530,1154895,1831635
Missouri,2017,6126452,2016700,4109752
Montana,2017,1062305,429991,632314
Nebraska,2017,1929268,565678,1363590
Nevada,2017,3034392,1062440,1971952
New Hampshire,2017,1356410,447916,908494
New Jersey,2017,8908520,2808997,6099523
New Mexico,2017,2095428,1037410,1058018
New York,2017,19542209,7875471,11666738
North Carolina,2017,10383620,3617373,6766247
North Dakota,2017,760077,204735,555342
Ohio,2017,11689442,4433022,7256420
Oklahoma,2017,3943079,1360692,2582387
Oregon,2017,4190713,1651776,2538937
Pennsylvania,2017,12807060,4815396,7991664
Rhode Island,2017,1057315,412801,644514
South Carolina,2017,5084127,1908983,3175144
South Dakota,2017,882235,270427,611808
Tennessee,2017,6770010,2522629,4247381
Texas,2017,28701845,8317233,20384612
Utah,2017,3161105,676089,2485016
Vermont,2017,626299,256946,369353
Virginia,2017,8517685,2421488,6096197
Washington,2017,7535591,2719931,4815660
West Virginia,2017,1805832,854921,950911
Wisconsin,2017,5813568,1935090,3878478
Wyoming,2017,577737,158520,419217
