Source: ACS 1-Year Estimates Public Use Microdata Sample 2021
Weight used: PWGTP
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming"
"","Health insurance coverage recode (HICOV)","",""
"Selected Geographies","Total","With health insurance coverage","No health insurance coverage"
" -> Total","331893745","302514135","29379610"
"Alabama","5039877","4513584","526293"
"Alaska","732673","654671","78002"
"Arizona","7276316","6481411","794905"
"Arkansas","3025891","2732119","293772"
"California","39237836","36419431","2818405"
"Colorado","5812069","5339168","472901"
"Connecticut","3605597","3419614","185983"
"Delaware","1003384","941943","61441"
"District of Columbia","670050","645228","24822"
"Florida","21781128","19046072","2735056"
"Georgia","10799566","9375443","1424123"
"Hawaii","1441553","1388342","53211"
"Idaho","1900923","1736913","164010"
"Illinois","12671469","11783176","888293"
"Indiana","6805985","6288477","517508"
"Iowa","3193079","3031501","161578"
"Kansas","2934582","2662728","271854"
"Kentucky","4509394","4247978","261416"
"Louisiana","4624047","4242459","381588"
"Maine","1372247","1295858","76389"
"Maryland","6165129","5781974","383155"
"Massachusetts","6984723","6809830","174893"
"Michigan","10050811","9515579","535232"
"Minnesota","5707390","5457548","249842"
"Mississippi","2949965","2574700","375265"
"Missouri","6168187","5584003","584184"
"Montana","1104271","1016536","87735"
"Nebraska","1963692","1822921","140771"
"Nevada","3143991","2781482","362509"
"New Hampshire","1388992","1319122","69870"
"New Jersey","9267130","8592436","674694"
"New Mexico","2115877","1902582","213295"
"New York","19835913","18797852","1038061"
"North Carolina","10551162","9449599","1101563"
"North Dakota","774948","716847","58101"
"Ohio","11780017","10987848","792169"
"Oklahoma","3986639","3428016","558623"
"Oregon","4246155","3978917","267238"
"Pennsylvania","12964056","12225227","738829"
"Rhode Island","1095610","1048516","47094"
"South Carolina","5190705","4656751","533954"
"South Dakota","895376","809608","85768"
"Tennessee","6975218","6245026","730192"
"Texas","29527941","24096255","5431686"
"Utah","3337975","3027150","310825"
"Vermont","645570","624134","21436"
"Virginia","8642274","8043575","598699"
"Washington","7738692","7236197","502495"
"West Virginia","1782959","1663915","119044"
"Wisconsin","5895908","5563397","332511"
"Wyoming","578803","510476","68327"
