Source: ACS 1-Year Estimates Public Use Microdata Sample 2022
Weight used: PWGTP
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming"
"","Health insurance coverage recode (HICOV)","",""
"Selected Geographies","Total","With health insurance coverage","No health insurance coverage"
" -> Total","333287562","305873643","27413919"
"Alabama","5074296","4622294","452002"
"Alaska","733583","656513","77070"
"Arizona","7359197","6576618","782579"
"Arkansas","3045637","2763935","281702"
"California","39029342","36470566","2558776"
"Colorado","5839926","5415738","424188"
"Connecticut","3626205","3439422","186783"
"Delaware","1018396","960775","57621"
"District of Columbia","671803","650711","21092"
"Florida","22244823","19691387","2553436"
"Georgia","10912876","9586486","1326390"
"Hawaii","1440196","1388038","52158"
"Idaho","1939033","1782110","156923"
"Illinois","12582032","11737817","844215"
"Indiana","6833037","6362048","470989"
"Iowa","3200517","3065779","134738"
"Kansas","2937150","2679557","257593"
"Kentucky","4512310","4251335","260975"
"Louisiana","4590241","4251429","338812"
"Maine","1385340","1295602","89738"
"Maryland","6164660","5785551","379109"
"Massachusetts","6981974","6811389","170585"
"Michigan","10034118","9556356","477762"
"Minnesota","5717184","5462036","255148"
"Mississippi","2940057","2602466","337591"
"Missouri","6177957","5643267","534690"
"Montana","1122867","1032489","90378"
"Nebraska","1967923","1835097","132826"
"Nevada","3177772","2819236","358536"
"New Hampshire","1395231","1329452","65779"
"New Jersey","9261699","8625244","636455"
"New Mexico","2113344","1933850","179494"
"New York","19677151","18715900","961251"
"North Carolina","10698973","9682541","1016432"
"North Dakota","779261","727794","51467"
"Ohio","11756058","11049368","706690"
"Oklahoma","4019800","3525787","494013"
"Oregon","4240137","3979656","260481"
"Pennsylvania","12972008","12246680","725328"
"Rhode Island","1093734","1049828","43906"
"South Carolina","5282634","4796464","486170"
"South Dakota","909824","834938","74886"
"Tennessee","7051339","6364410","686929"
"Texas","30029572","24918316","5111256"
"Utah","3380800","3102653","278147"
"Vermont","647064","622300","24764"
"Virginia","8683619","8111761","571858"
"Washington","7785786","7321653","464133"
"West Virginia","1775156","1657132","118024"
"Wisconsin","5892539","5568594","323945"
"Wyoming","581381","513275","68106"
