Source: ACS 1-Year Estimates Public Use Microdata Sample 2018
Weight used: PWGTP
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming"
"","Health insurance coverage recode (HICOV)","",""
"Selected Geographies","Total","With health insurance coverage","No health insurance coverage"
" -> Total","327167439","297279138","29888301"
"Alabama","4887871","4366917","520954"
"Alaska","737438","647908","89530"
"Arizona","7171646","6366617","805029"
"Arkansas","3013825","2744476","269349"
"California","39557045","36659160","2897885"
"Colorado","5695564","5244348","451216"
"Connecticut","3572665","3382274","190391"
"Delaware","967171","910788","56383"
"District of Columbia","702455","678733","23722"
"Florida","21299325","18407062","2892263"
"Georgia","10519475","9013659","1505816"
"Hawaii","1420491","1361157","59334"
"Idaho","1754208","1556891","197317"
"Illinois","12741080","11830743","910337"
"Indiana","6691878","6110542","581336"
"Iowa","3156145","2997711","158434"
"Kansas","2911510","2652552","258958"
"Kentucky","4468402","4205807","262595"
"Louisiana","4659978","4260844","399134"
"Maine","1338404","1233828","104576"
"Maryland","6042718","5676472","366246"
"Massachusetts","6902197","6710157","192040"
"Michigan","9995915","9435447","560468"
"Minnesota","5611179","5361758","249421"
"Mississippi","2986530","2595748","390782"
"Missouri","6126452","5535462","590990"
"Montana","1062305","975870","86435"
"Nebraska","1929268","1764862","164406"
"Nevada","3034392","2683384","351008"
"New Hampshire","1356410","1283542","72868"
"New Jersey","8908520","8237938","670582"
"New Mexico","2095428","1894159","201269"
"New York","19542209","18486639","1055570"
"North Carolina","10383620","9258188","1125432"
"North Dakota","760077","702190","57887"
"Ohio","11689442","10900981","788461"
"Oklahoma","3943079","3385681","557398"
"Oregon","4190713","3880631","310082"
"Pennsylvania","12807060","12040155","766905"
"Rhode Island","1057315","1013342","43973"
"South Carolina","5084127","4533637","550490"
"South Dakota","882235","799126","83109"
"Tennessee","6770010","6055423","714587"
"Texas","28701845","23484339","5217506"
"Utah","3161105","2867910","293195"
"Vermont","626299","601070","25229"
"Virginia","8517685","7765968","751717"
"Washington","7535591","7039900","495691"
"West Virginia","1805832","1685691","120141"
"Wisconsin","5813568","5476516","337052"
"Wyoming","577737","514935","62802"
